experiment,feature_variant,dataset,train_dataset,test_dataset,model,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc
cross_dataset,all_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,64,0.426201300080724,0.426572831841473,0.9979606048547552,0.59767341406378,0.4648217805048158,0.4236679405239842
cross_dataset,all_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,64,0.42520287207375623,0.4259992338143277,0.9956227616394747,0.5966910120733343,0.6049398462809852,0.7454882295214915
cross_dataset,all_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,64,0.42510940221778476,0.4259454765269808,0.9954038997214485,0.5965989720595776,0.010166249591851709,0.25369768296096085
cross_dataset,all_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,64,0.41779751030292733,0.42170607130144655,0.9782431356943891,0.5893514814248769,0.4891314251542701,0.42182039687011647
cross_dataset,without_artifact_prone_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,59,0.4243956324085482,0.4255346340632189,0.9937325905292479,0.595895722722663,0.09904391406436622,0.26652504233284724
cross_dataset,without_artifact_prone_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,59,0.3925309087819178,0.4065745467347298,0.9191205730202945,0.5637661703685624,0.2881551563313115,0.3295075309215536
cross_dataset,without_artifact_prone_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,59,0.39073373836937586,0.4054678441210315,0.9149124552327895,0.5619102026352047,0.49793736943127476,0.5721980990671643
cross_dataset,without_artifact_prone_features,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,59,0.37661979011768704,0.3941887998827501,0.8562077198567449,0.5398407436562471,0.4376663367544755,0.3989171889139183
cross_dataset,all_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,64,0.18028940988114892,0.18016508028939812,0.9996705142104032,0.305306466926891,0.33283888384930416,0.13488454492722182
cross_dataset,all_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,64,0.18014960759605184,0.18015581789071297,0.9998086856705567,0.3052996102130035,0.49990434283527835,0.18015582274684913
cross_dataset,all_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,64,0.18014960759605184,0.18015581789071297,0.9998086856705567,0.3052996102130035,0.312424973846081,0.13773484195554
cross_dataset,all_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,64,0.18014769249625598,0.18015424775015465,0.9997980570966988,0.30529686011622226,0.4671013373250611,0.1707330408463151
cross_dataset,without_artifact_prone_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,59,0.1801438622966643,0.1801498823119337,0.9997661713751249,0.3052891051865459,0.313306496087511,0.13210742068962972
cross_dataset,without_artifact_prone_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,59,0.18014003209707258,0.1801455168068273,0.999734285653551,0.30528135015619295,0.1892440316058868,0.12384094800738846
cross_dataset,without_artifact_prone_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,59,0.17928398248832747,0.17938404435616837,0.9944731415938609,0.30394261972901593,0.4972949658571316,0.17938844907292478
cross_dataset,without_artifact_prone_features,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,59,0.1848262812975184,0.16412951430111142,0.8610632825287503,0.2757059916553794,0.4450709844852696,0.1644236611185101
internal,all_features,combined,combined,combined,Random Forest,64,0.9827719360779421,0.9665338645418327,0.9663848269126982,0.9664593399814948,0.9953331733823532,0.9907543129848307
