experiment,dataset,train_dataset,test_dataset,model,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc
internal_normalized_url,phiusiil,phiusiil,phiusiil,Logistic Regression,64,0.8636402260271062,0.918066841815849,0.7474134500596896,0.8239971484192921,0.9080084967143786,0.9174655817718711
internal_normalized_url,phiusiil,phiusiil,phiusiil,Decision Tree,64,0.8625355822747164,0.8986956776042581,0.7642757660167131,0.8260530630897019,0.8872904943238431,0.8815551772201397
internal_normalized_url,phiusiil,phiusiil,phiusiil,Random Forest,64,0.8660194587245613,0.9032088374539716,0.7686530043772384,0.8305162174508908,0.9071477086299924,0.9168636941415559
internal_normalized_url,phiusiil,phiusiil,phiusiil,Gradient Boosting,64,0.8762798997323363,0.9485488126649076,0.7510445682451253,0.8383210260396424,0.9169994246455324,0.9244916836692908
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,64,0.6668230652852519,0.3279197001680093,0.8090556411755327,0.4666860812654231,0.7879628773513654,0.43386040231176354
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Decision Tree,64,0.8390179443476262,0.5442702583351733,0.6549928256363926,0.5945202836332063,0.7814918407175584,0.481013533598523
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Random Forest,64,0.8587720474175077,0.5856565316263792,0.7390657384280173,0.6534783732349694,0.916828779527849,0.7232189057465515
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,64,0.8702242564682,0.7668288726682887,0.40197693574958815,0.5274572016317423,0.8938021345960317,0.6906860713788306
internal_normalized_url,combined,combined,combined,Logistic Regression,64,0.7489917292091592,0.508819538670285,0.6553416771607,0.5728599189010075,0.7973895335449798,0.6220483580168058
internal_normalized_url,combined,combined,combined,Decision Tree,64,0.8352046575179707,0.6778290698564106,0.6830202256431344,0.6804147465437788,0.8183606403546763,0.6370765828500966
internal_normalized_url,combined,combined,combined,Random Forest,64,0.8515746186393129,0.7012621002328147,0.735396160468762,0.717923628882533,0.9093029674332918,0.8148598779246022
internal_normalized_url,combined,combined,combined,Gradient Boosting,64,0.8498188082932335,0.8278884785520069,0.52427334172856,0.6419939577039275,0.8886524992392967,0.785930003835226
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,64,0.21689654247882859,0.17024467906820848,0.8637629402886721,0.28442932490559036,0.38412113000337633,0.14735472405546857
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,64,0.21132551717269987,0.1631950848761997,0.8181557298641668,0.2721126670944001,0.4415911622045785,0.16338026322139979
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,64,0.21790388497144586,0.17056236399998323,0.8647620262313203,0.2849268439594613,0.4208286945547415,0.15650124761854733
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,64,0.21874461378182417,0.1699035559154826,0.858501796228982,0.28366734505022906,0.3238158942927133,0.1299479445558395
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,64,0.36598546968602624,0.38976199744706275,0.8566155988857939,0.535754506256183,0.5210361918173809,0.5026131349373022
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,64,0.4407401113141012,0.3972401857491066,0.5982590529247911,0.4774539810326827,0.5584114327041836,0.6000259549666838
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,64,0.4863024174703658,0.4385136398453568,0.7232988460007959,0.5460027560725591,0.5530676486349588,0.46769502984144984
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,64,0.6637846794408803,0.6423142959817922,0.4800935137286112,0.5494810791731425,0.6697583344141056,0.6153402924803599
